id,term,english,chinese,module,difficulty,explain
C096,Policy Violation,Policy Violation,政策违规,安全与合规评估,中级,系统输出违反内部制度、法规或安全政策的内容。
C097,Error Attribution,Error Attribution,错误归因,错误归因,基础,把错误定位到数据、检索、排序、上下文、生成、安全或评估标签等环节。
C098,Root Cause Analysis,Root Cause Analysis,根因分析,错误归因,基础,分析错误背后的根本原因，而不是只描述表面现象。
C099,Retrieval Failure,Retrieval Failure,检索失败,错误归因,中级,检索阶段未能提供正确证据，包括漏召回、排序低、版本错和权限过滤错。
C100,Generation Failure,Generation Failure,生成失败,错误归因,基础,正确证据已进入上下文时，LLM 仍生成错误、不完整或不合规答案。
C101,Context Truncation,Context Truncation,上下文截断,错误归因,基础,由于 token 预算限制，关键证据没有进入 prompt 或被截断。
C102,Severity,Severity,严重程度,错误归因,中级,错误对业务、安全、合规或用户体验的影响级别。
C103,Failure Type,Failure Type,失败类型,错误归因,基础,错误模式分类，如 retrieval_miss、low_rank、hallucination、unsafe_answer 等。
C104,Debugging Trace,Debugging Trace,调试轨迹,错误归因,基础,记录问题、检索结果、上下文、prompt、答案和评分，用于复现和定位问题。
C105,Offline Evaluation,Offline Evaluation,离线评估,生产监控与回归,高级,在固定测试集上评估系统版本，适合上线前测试和版本对比。
C106,Online Evaluation,Online Evaluation,在线评估,生产监控与回归,基础,在真实用户流量中观察质量、反馈、延迟、成本和安全表现。
C107,A/B Test,A/B Test,A/B 测试,生产监控与回归,基础,将流量分配给不同系统版本，比较其真实效果。
C108,Regression Test,Regression Test,回归测试,生产监控与回归,中级,系统改动后重新运行固定测试集，确认新版本没有破坏已有能力。
C109,Golden Set,Golden Set,核心金标准测试集,生产监控与回归,基础,用于稳定回归和上线门槛判断的关键代表性样本集合。
C110,P95 Latency,95th Percentile Latency,第 95 百分位延迟,生产监控与回归,基础,95% 请求响应时间不超过该值，比平均值更能反映慢请求体验。
C111,Token Cost,Token Cost,Token 成本,生产监控与回归,中级,模型输入和输出 token 带来的调用成本，受 top-k、上下文长度和生成长度影响。
C112,Query Drift,Query Drift,查询分布漂移,生产监控与回归,基础,用户问题主题、表达或难度变化，导致原测试集不再代表生产环境。
C113,Document Drift,Document Drift,文档分布漂移,生产监控与回归,基础,知识库内容、版本或结构变化，导致检索效果和标准答案变化。
C114,Monitoring Dashboard,Monitoring Dashboard,监控仪表盘,生产监控与回归,中级,集中展示质量、成本、延迟、安全和用户反馈等指标的界面。
C115,Quality Gate,Quality Gate,质量门槛,生产监控与回归,基础,上线前必须达到的最低指标要求，如 Recall、faithfulness、安全失败率和延迟。
C116,Canary Release,Canary Release,金丝雀发布,生产监控与回归,基础,先向少量用户发布新版本，观察质量和风险后再扩大流量。
C117,Human-in-the-loop,Human in the Loop,人在环路,生产监控与回归,中级,在关键环节引入人工审核、反馈或决策，高风险系统尤其需要。
C118,Scorecard,Evaluation Scorecard,评估记分卡,生产监控与回归,基础,汇总指标、阈值、版本对比和上线结论的评估报告。
C119,SLO,Service Level Objective,服务水平目标,生产监控与回归,基础,系统期望达到的服务质量目标，如可用性、延迟、错误率或安全失败率。
C120,Feedback Loop,Feedback Loop,反馈闭环,生产监控与回归,高级,把用户反馈、人工审核和生产日志用于更新测试集、修复错误和持续优化。
