Front	Back	Tags
Stateful Orchestration	<b>英文全称：</b> Stateful Orchestration<br><b>中文全称：</b> 有状态编排<br><b>中文解释：</b> 在任务执行过程中持续记录状态，使智能体能恢复上下文、处理分支、避免重复行动并支持长任务执行。	AAI::架构与设计
Workflow	<b>英文全称：</b> Workflow<br><b>中文全称：</b> 工作流<br><b>中文解释：</b> 由一系列任务节点、条件分支、工具调用和人工审批步骤组成的可执行流程。	AAI::架构与设计
ReAct	<b>英文全称：</b> Reasoning and Acting<br><b>中文全称：</b> 推理与行动框架<br><b>中文解释：</b> 让智能体在“思考下一步—调用工具—观察结果—更新计划”之间循环，适合需要外部信息和多步执行的任务。	AAI::架构与设计
Task Decomposition	<b>英文全称：</b> Task Decomposition<br><b>中文全称：</b> 任务分解<br><b>中文解释：</b> 把复杂任务拆成更小、更明确、可验证的子任务，以降低复杂度并提高执行稳定性。	AAI::架构与设计
Routing	<b>英文全称：</b> Routing<br><b>中文全称：</b> 路由<br><b>中文解释：</b> 根据用户意图、任务类型或系统状态，把请求分派给合适的模型、工具、子流程或智能体。	AAI::架构与设计
Decision Tree	<b>英文全称：</b> Decision Tree<br><b>中文全称：</b> 决策树<br><b>中文解释：</b> 用条件分支组织智能体行为的结构，适合明确规则驱动的流程控制。	AAI::架构与设计
Loop Control	<b>英文全称：</b> Loop Control<br><b>中文全称：</b> 循环控制<br><b>中文解释：</b> 通过最大步数、终止条件和错误阈值防止智能体陷入无限重试或多智能体循环。	AAI::架构与设计
Termination Condition	<b>英文全称：</b> Termination Condition<br><b>中文全称：</b> 终止条件<br><b>中文解释：</b> 判断任务何时完成、何时停止重试或何时转人工处理的规则。	AAI::架构与设计
Prompt Engineering	<b>英文全称：</b> Prompt Engineering<br><b>中文全称：</b> 提示词工程<br><b>中文解释：</b> 通过设计角色、目标、输入输出格式、约束、示例和工具说明，引导模型稳定完成任务的工程方法。	AAI::智能体开发
System Prompt	<b>英文全称：</b> System Prompt<br><b>中文全称：</b> 系统提示词<br><b>中文解释：</b> 定义智能体身份、边界、行为规则和优先级的高层指令，通常比用户提示具有更高优先级。	AAI::智能体开发
User Prompt	<b>英文全称：</b> User Prompt<br><b>中文全称：</b> 用户提示词<br><b>中文解释：</b> 用户向系统提出的具体问题、目标、约束或任务输入。	AAI::智能体开发
Few-shot Prompting	<b>英文全称：</b> Few-shot Prompting<br><b>中文全称：</b> 少样本提示<br><b>中文解释：</b> 在提示词中提供少量示例，使模型学习期望的输入输出模式和风格。	AAI::智能体开发
Zero-shot Prompting	<b>英文全称：</b> Zero-shot Prompting<br><b>中文全称：</b> 零样本提示<br><b>中文解释：</b> 不提供示例，直接通过任务说明让模型完成任务的方法。	AAI::智能体开发
Dynamic Prompt Chain	<b>英文全称：</b> Dynamic Prompt Chain<br><b>中文全称：</b> 动态提示链<br><b>中文解释：</b> 根据任务状态选择不同提示、工具和分支，而不是固定执行同一套步骤。	AAI::智能体开发
Structured Output	<b>英文全称：</b> Structured Output<br><b>中文全称：</b> 结构化输出<br><b>中文解释：</b> 让模型按照 JSON、表格、字段模板或 schema 输出，便于程序自动解析和后续工具调用。	AAI::智能体开发
JSON	<b>英文全称：</b> JavaScript Object Notation<br><b>中文全称：</b> JavaScript 对象表示法<br><b>中文解释：</b> 轻量级数据交换格式，常用于智能体与工具、API、前后端之间传递结构化数据。	AAI::智能体开发
JSON Schema	<b>英文全称：</b> JSON Schema<br><b>中文全称：</b> JSON 模式/结构约束<br><b>中文解释：</b> 用于定义 JSON 字段、类型、必填项和格式约束，帮助校验模型输出和函数参数。	AAI::智能体开发
Function Calling	<b>英文全称：</b> Function Calling<br><b>中文全称：</b> 函数调用<br><b>中文解释：</b> 让模型根据任务生成符合 schema 的函数参数，并触发外部工具或 API 执行实际动作。	AAI::智能体开发
Tool Calling	<b>英文全称：</b> Tool Calling<br><b>中文全称：</b> 工具调用<br><b>中文解释：</b> 智能体调用搜索、数据库、代码执行、邮件、日历、企业系统等外部能力的机制。	AAI::智能体开发
API	<b>英文全称：</b> Application Programming Interface<br><b>中文全称：</b> 应用程序编程接口<br><b>中文解释：</b> 软件系统之间进行数据交换和功能调用的接口，是智能体连接外部世界的重要方式。	AAI::智能体开发
SDK	<b>英文全称：</b> Software Development Kit<br><b>中文全称：</b> 软件开发工具包<br><b>中文解释：</b> 封装 API、示例和工具的开发包，可帮助开发者更容易集成模型、工具或平台服务。	AAI::智能体开发
Schema Validation	<b>英文全称：</b> Schema Validation<br><b>中文全称：</b> 模式校验<br><b>中文解释：</b> 检查模型输出或工具参数是否符合预定义结构，减少格式错误和下游解析失败。	AAI::智能体开发
Idempotency	<b>英文全称：</b> Idempotency<br><b>中文全称：</b> 幂等性<br><b>中文解释：</b> 同一操作重复执行不会造成额外副作用，例如不会重复发邮件、重复扣费或重复写入记录。	AAI::智能体开发
Retry	<b>英文全称：</b> Retry<br><b>中文全称：</b> 重试机制<br><b>中文解释：</b> 当工具或网络出现临时错误时，按规则再次尝试执行，常与最大次数和指数退避配合使用。	AAI::智能体开发
Exponential Backoff	<b>英文全称：</b> Exponential Backoff<br><b>中文全称：</b> 指数退避<br><b>中文解释：</b> 重试间隔逐步增加的策略，可降低系统拥塞并避免对失败服务持续施压。	AAI::智能体开发
Timeout	<b>英文全称：</b> Timeout<br><b>中文全称：</b> 超时控制<br><b>中文解释：</b> 限定工具或模型调用的最长等待时间，避免单个步骤阻塞整个智能体流程。	AAI::智能体开发
Fallback	<b>英文全称：</b> Fallback<br><b>中文全称：</b> 降级/备用方案<br><b>中文解释：</b> 当主模型、主工具或主路径失败时，切换到备用模型、缓存结果、人工处理或安全回答。	AAI::智能体开发
Circuit Breaker	<b>英文全称：</b> Circuit Breaker<br><b>中文全称：</b> 熔断器<br><b>中文解释：</b> 当某个服务持续失败时临时停止调用，保护系统免于反复失败和资源浪费。	AAI::智能体开发
Multimodal Agent	<b>英文全称：</b> Multimodal Agent<br><b>中文全称：</b> 多模态智能体<br><b>中文解释：</b> 能够处理文本、图像、音频、视频或结构化数据，并综合不同模态信息完成任务的智能体。	AAI::智能体开发
OCR	<b>英文全称：</b> Optical Character Recognition<br><b>中文全称：</b> 光学字符识别<br><b>中文解释：</b> 把图片或扫描件中的文字转换为机器可处理文本的技术，常用于文档理解智能体。	AAI::智能体开发
STT	<b>英文全称：</b> Speech-to-Text<br><b>中文全称：</b> 语音转文本<br><b>中文解释：</b> 将语音内容转写为文本，常用于会议助手、客服助手和语音交互智能体。	AAI::智能体开发
TTS	<b>英文全称：</b> Text-to-Speech<br><b>中文全称：</b> 文本转语音<br><b>中文解释：</b> 把文本生成自然语音，用于语音助手和多模态交互场景。	AAI::智能体开发
Memory	<b>英文全称：</b> Memory<br><b>中文全称：</b> 记忆<br><b>中文解释：</b> 智能体保存和检索上下文、用户偏好、历史任务和知识的能力，是持续完成多轮任务的基础。	AAI::认知、规划与记忆
Short-term Memory	<b>英文全称：</b> Short-term Memory<br><b>中文全称：</b> 短期记忆<br><b>中文解释：</b> 当前会话或当前任务中的上下文信息，例如用户刚刚说过的约束、工具返回结果和当前步骤。	AAI::认知、规划与记忆
Long-term Memory	<b>英文全称：</b> Long-term Memory<br><b>中文全称：</b> 长期记忆<br><b>中文解释：</b> 跨会话保存的用户偏好、项目历史、组织知识或经验信息，需要权限、更新和过期管理。	AAI::认知、规划与记忆
Context Window	<b>英文全称：</b> Context Window<br><b>中文全称：</b> 上下文窗口<br><b>中文解释：</b> 模型一次推理可接收的最大输入范围；它不是长期记忆，超出窗口的信息会被截断或压缩。	AAI::认知、规划与记忆
Token	<b>英文全称：</b> Token<br><b>中文全称：</b> 词元<br><b>中文解释：</b> 模型处理文本的基本单位，可近似理解为词、字或子词片段；成本和上下文长度通常按 token 计算。	AAI::认知、规划与记忆
Semantic Memory	<b>英文全称：</b> Semantic Memory<br><b>中文全称：</b> 语义记忆<br><b>中文解释：</b> 保存概念、事实和知识的记忆形式，常通过向量数据库或知识库实现。	AAI::认知、规划与记忆
Episodic Memory	<b>英文全称：</b> Episodic Memory<br><b>中文全称：</b> 情节记忆<br><b>中文解释：</b> 保存曾经发生过的任务、对话和事件记录，便于回顾历史上下文。	AAI::认知、规划与记忆
Procedural Memory	<b>英文全称：</b> Procedural Memory<br><b>中文全称：</b> 程序性记忆<br><b>中文解释：</b> 保存如何执行某类任务的步骤、SOP 或工作流规则。	AAI::认知、规划与记忆
Memory Write Policy	<b>英文全称：</b> Memory Write Policy<br><b>中文全称：</b> 记忆写入策略<br><b>中文解释：</b> 决定哪些信息值得保存到长期记忆、何时保存、是否需要用户确认以及如何避免记忆污染。	AAI::认知、规划与记忆
Memory Retrieval	<b>英文全称：</b> Memory Retrieval<br><b>中文全称：</b> 记忆检索<br><b>中文解释：</b> 从历史记忆中找到与当前任务相关的信息，并按权限、时间、相关性和可信度筛选。	AAI::认知、规划与记忆
Reflection	<b>英文全称：</b> Reflection<br><b>中文全称：</b> 反思机制<br><b>中文解释：</b> 智能体在完成一个步骤或任务后检查结果、识别错误并调整下一步计划的机制。	AAI::认知、规划与记忆
Replanning	<b>英文全称：</b> Replanning<br><b>中文全称：</b> 重新规划<br><b>中文解释：</b> 当环境变化、工具失败或中间结果不符合预期时，重新制定任务执行路径。	AAI::认知、规划与记忆
Chain-of-Thought	<b>英文全称：</b> Chain of Thought<br><b>中文全称：</b> 思维链<br><b>中文解释：</b> 一种让模型进行分步推理的提示思想；在生产系统中通常应转化为可验证的步骤、摘要或决策依据，而不一定暴露完整内部推理。	AAI::认知、规划与记忆
MAS	<b>英文全称：</b> Multi-Agent System<br><b>中文全称：</b> 多智能体系统<br><b>中文解释：</b> 由多个角色明确、能力互补的智能体协同完成复杂任务的系统。	AAI::多智能体协作
Supervisor Agent	<b>英文全称：</b> Supervisor Agent<br><b>中文全称：</b> 监督者智能体<br><b>中文解释：</b> 负责拆解任务、分配工作、检查结果和协调多个 worker 的上层智能体。	AAI::多智能体协作
Worker Agent	<b>英文全称：</b> Worker Agent<br><b>中文全称：</b> 工作者智能体<br><b>中文解释：</b> 负责完成监督者分配的具体子任务，例如检索、写作、验证、代码执行等。	AAI::多智能体协作
Planner-Executor Pattern	<b>英文全称：</b> Planner-Executor Pattern<br><b>中文全称：</b> 规划器—执行器模式<br><b>中文解释：</b> 由规划器制定任务步骤，执行器负责调用工具和落实步骤的常见智能体架构。	AAI::多智能体协作
Critic Agent	<b>英文全称：</b> Critic Agent<br><b>中文全称：</b> 批判/审查智能体<br><b>中文解释：</b> 负责发现错误、审查结果、提出修改建议或评估输出质量的智能体。	AAI::多智能体协作
Tool Specialist	<b>英文全称：</b> Tool Specialist Agent<br><b>中文全称：</b> 工具专家智能体<br><b>中文解释：</b> 专门负责某类工具或系统交互的智能体，例如数据库专家、搜索专家或代码执行专家。	AAI::多智能体协作
Communication Protocol	<b>英文全称：</b> Communication Protocol<br><b>中文全称：</b> 通信协议<br><b>中文解释：</b> 规定智能体之间如何传递任务、状态、证据、结果和错误信息的格式与规则。	AAI::多智能体协作
Role Boundary	<b>英文全称：</b> Role Boundary<br><b>中文全称：</b> 角色边界<br><b>中文解释：</b> 明确每个智能体能做什么、不能做什么，防止重复工作、权限越界和责任混乱。	AAI::多智能体协作
Task Delegation	<b>英文全称：</b> Task Delegation<br><b>中文全称：</b> 任务委派<br><b>中文解释：</b> 监督者或编排器把子任务分配给最合适的智能体、工具或流程。	AAI::多智能体协作
Consensus	<b>英文全称：</b> Consensus<br><b>中文全称：</b> 共识机制<br><b>中文解释：</b> 多个智能体对同一问题给出判断后，通过投票、评分或审查达成更可靠结论的方法。	AAI::多智能体协作
RAG	<b>英文全称：</b> Retrieval-Augmented Generation<br><b>中文全称：</b> 检索增强生成<br><b>中文解释：</b> 先从外部知识库检索相关证据，再让模型基于证据生成答案的方法，可降低幻觉并增强领域知识。	AAI::知识整合与_RAG
Embedding	<b>英文全称：</b> Embedding<br><b>中文全称：</b> 向量嵌入<br><b>中文解释：</b> 把文本、图像或其他对象转换为数值向量，使系统能够计算语义相似度。	AAI::知识整合与_RAG
Vector Database	<b>英文全称：</b> Vector Database<br><b>中文全称：</b> 向量数据库<br><b>中文解释：</b> 用于存储和检索向量嵌入的数据库，支持按语义相似度快速查找相关内容。	AAI::知识整合与_RAG
Chunking	<b>英文全称：</b> Chunking<br><b>中文全称：</b> 文档切分<br><b>中文解释：</b> 把长文档切成适合检索和上下文输入的小片段；切分大小和重叠会显著影响 RAG 质量。	AAI::知识整合与_RAG
Top-k Retrieval	<b>英文全称：</b> Top-k Retrieval<br><b>中文全称：</b> Top-k 检索<br><b>中文解释：</b> 从知识库中返回相似度最高的 k 个候选片段，常用于控制召回数量和上下文长度。	AAI::知识整合与_RAG
Reranker	<b>英文全称：</b> Reranker<br><b>中文全称：</b> 重排序器<br><b>中文解释：</b> 在初步检索后重新评估候选文档与问题的相关性，提高最终进入上下文的证据质量。	AAI::知识整合与_RAG
Metadata Filtering	<b>英文全称：</b> Metadata Filtering<br><b>中文全称：</b> 元数据过滤<br><b>中文解释：</b> 根据来源、时间、权限、主题、作者等元数据筛选检索结果，提升准确性和合规性。	AAI::知识整合与_RAG
Hybrid Search	<b>英文全称：</b> Hybrid Search<br><b>中文全称：</b> 混合检索<br><b>中文解释：</b> 结合关键词检索和向量检索，兼顾精确匹配和语义匹配。	AAI::知识整合与_RAG
BM25	<b>英文全称：</b> Best Matching 25<br><b>中文全称：</b> BM25 关键词排序算法<br><b>中文解释：</b> 经典关键词检索排序算法，适合精确术语、编号、缩写和标题匹配。	AAI::知识整合与_RAG
Semantic Search	<b>英文全称：</b> Semantic Search<br><b>中文全称：</b> 语义检索<br><b>中文解释：</b> 根据语义相似度而非字面关键词匹配检索内容，适合表达方式不同但含义相近的问题。	AAI::知识整合与_RAG
Index	<b>英文全称：</b> Index<br><b>中文全称：</b> 索引<br><b>中文解释：</b> 为了加速检索而建立的数据结构，可用于关键词检索、向量检索或混合检索。	AAI::知识整合与_RAG
ETL	<b>英文全称：</b> Extract, Transform, Load<br><b>中文全称：</b> 抽取、转换、加载<br><b>中文解释：</b> 把外部数据抽取出来，经过清洗、规范化和转换后加载到数据库、向量库或知识库中的流程。	AAI::知识整合与_RAG
Data Cleaning	<b>英文全称：</b> Data Cleaning<br><b>中文全称：</b> 数据清洗<br><b>中文解释：</b> 处理重复、缺失、格式错误、过期内容和噪声数据，以提升智能体检索与回答质量。	AAI::知识整合与_RAG
Data Lineage	<b>英文全称：</b> Data Lineage<br><b>中文全称：</b> 数据血缘<br><b>中文解释：</b> 记录数据从来源到处理、转换、入库和使用的全过程，便于审计、追踪和排错。	AAI::知识整合与_RAG
Knowledge Graph	<b>英文全称：</b> Knowledge Graph<br><b>中文全称：</b> 知识图谱<br><b>中文解释：</b> 用实体和关系表示知识的结构化网络，适合关系推理、依赖分析和实体关联查询。	AAI::知识整合与_RAG
Entity	<b>英文全称：</b> Entity<br><b>中文全称：</b> 实体<br><b>中文解释：</b> 知识图谱中的对象，例如人、机构、论文、模型、数据集、疾病、工具或项目。	AAI::知识整合与_RAG
Relation	<b>英文全称：</b> Relation<br><b>中文全称：</b> 关系<br><b>中文解释：</b> 知识图谱中连接实体的边，例如“作者属于机构”“论文使用数据集”“工具依赖服务”。	AAI::知识整合与_RAG
Graph Traversal	<b>英文全称：</b> Graph Traversal<br><b>中文全称：</b> 图遍历<br><b>中文解释：</b> 沿着知识图谱中的实体和关系进行查询，用于发现间接关系、路径和依赖。	AAI::知识整合与_RAG
Evaluation	<b>英文全称：</b> Evaluation<br><b>中文全称：</b> 评估<br><b>中文解释：</b> 用标准化任务、指标和测试集衡量智能体的准确性、稳定性、安全性、成本和用户体验。	AAI::评估与调优
Benchmark	<b>英文全称：</b> Benchmark<br><b>中文全称：</b> 基准测试<br><b>中文解释：</b> 用于比较不同模型、提示词、工具链或系统版本表现的一组标准任务和指标。	AAI::评估与调优
Task Success Rate	<b>英文全称：</b> Task Success Rate<br><b>中文全称：</b> 任务成功率<br><b>中文解释：</b> 智能体完成用户目标的比例，是衡量端到端能力的重要指标。	AAI::评估与调优
Accuracy	<b>英文全称：</b> Accuracy<br><b>中文全称：</b> 准确率<br><b>中文解释：</b> 正确结果占所有结果的比例，适合有明确标准答案的任务。	AAI::评估与调优
Precision	<b>英文全称：</b> Precision<br><b>中文全称：</b> 精确率<br><b>中文解释：</b> 系统返回结果中真正相关或正确的比例，适合衡量误报情况。	AAI::评估与调优
Recall	<b>英文全称：</b> Recall<br><b>中文全称：</b> 召回率<br><b>中文解释：</b> 所有相关结果中被系统成功找到的比例，适合衡量漏报情况。	AAI::评估与调优
F1 Score	<b>英文全称：</b> F1 Score<br><b>中文全称：</b> F1 分数<br><b>中文解释：</b> 精确率和召回率的调和平均，用于平衡误报与漏报。	AAI::评估与调优
MRR	<b>英文全称：</b> Mean Reciprocal Rank<br><b>中文全称：</b> 平均倒数排名<br><b>中文解释：</b> 衡量第一个正确检索结果排名位置的指标，常用于检索系统评估。	AAI::评估与调优
NDCG	<b>英文全称：</b> Normalized Discounted Cumulative Gain<br><b>中文全称：</b> 归一化折损累计增益<br><b>中文解释：</b> 衡量排序结果质量的指标，越相关的结果排在越前面得分越高。	AAI::评估与调优
Hallucination Rate	<b>英文全称：</b> Hallucination Rate<br><b>中文全称：</b> 幻觉率<br><b>中文解释：</b> 模型生成无依据、与证据冲突或事实错误内容的比例。	AAI::评估与调优
Latency	<b>英文全称：</b> Latency<br><b>中文全称：</b> 延迟<br><b>中文解释：</b> 用户发起请求到系统返回结果所需时间，常分为首 token 延迟和总响应时间。	AAI::评估与调优
Throughput	<b>英文全称：</b> Throughput<br><b>中文全称：</b> 吞吐量<br><b>中文解释：</b> 系统单位时间内可处理的请求数或 token 数。	AAI::评估与调优
QPS	<b>英文全称：</b> Queries Per Second<br><b>中文全称：</b> 每秒查询数<br><b>中文解释：</b> 系统每秒可处理的请求数量，是衡量服务承载能力的常用指标。	AAI::评估与调优
Tokens per Second	<b>英文全称：</b> Tokens per Second<br><b>中文全称：</b> 每秒生成词元数<br><b>中文解释：</b> 模型推理速度指标，用于衡量大模型输出性能。	AAI::评估与调优
Cost per Query	<b>英文全称：</b> Cost per Query<br><b>中文全称：</b> 单次查询成本<br><b>中文解释：</b> 一次用户请求消耗的 token、GPU、工具调用或云资源成本。	AAI::评估与调优
A/B Testing	<b>英文全称：</b> A/B Testing<br><b>中文全称：</b> A/B 测试<br><b>中文解释：</b> 把用户流量分配给不同系统版本，比较真实使用场景下的表现差异。	AAI::评估与调优
Regression Testing	<b>英文全称：</b> Regression Testing<br><b>中文全称：</b> 回归测试<br><b>中文解释：</b> 更新模型、提示词、检索或工具后，验证历史能力没有退化的测试流程。	AAI::评估与调优
Eval Dataset	<b>英文全称：</b> Evaluation Dataset<br><b>中文全称：</b> 评估数据集<br><b>中文解释：</b> 用于测试智能体能力的代表性样本集合，应覆盖正常任务、边界条件、失败场景和安全场景。	AAI::评估与调优
Human Evaluation	<b>英文全称：</b> Human Evaluation<br><b>中文全称：</b> 人工评估<br><b>中文解释：</b> 由领域专家或用户根据标准对智能体输出进行评分、审查或标注。	AAI::评估与调优
LLM-as-a-Judge	<b>英文全称：</b> Large Language Model as a Judge<br><b>中文全称：</b> 大模型作为评审器<br><b>中文解释：</b> 用另一个模型辅助评估输出质量的方法，适合规模化评测，但仍需要抽样人工校准。	AAI::评估与调优
Deployment	<b>英文全称：</b> Deployment<br><b>中文全称：</b> 部署<br><b>中文解释：</b> 把智能体系统从开发环境发布到可供真实用户访问的生产环境。	AAI::部署与扩展
Docker	<b>英文全称：</b> Docker<br><b>中文全称：</b> Docker 容器平台<br><b>中文解释：</b> 用于把应用及其依赖封装为容器，保证不同环境中的运行一致性。	AAI::部署与扩展
Container	<b>英文全称：</b> Container<br><b>中文全称：</b> 容器<br><b>中文解释：</b> 轻量级运行环境，封装代码、依赖和配置，便于部署、迁移和扩展。	AAI::部署与扩展
Kubernetes	<b>英文全称：</b> Kubernetes<br><b>中文全称：</b> Kubernetes 容器编排系统<br><b>中文解释：</b> 用于管理容器集群，支持服务发现、弹性伸缩、滚动更新和故障恢复。	AAI::部署与扩展
Pod	<b>英文全称：</b> Pod<br><b>中文全称：</b> Pod<br><b>中文解释：</b> Kubernetes 中最小调度单元，可包含一个或多个紧密关联的容器。	AAI::部署与扩展
Service	<b>英文全称：</b> Service<br><b>中文全称：</b> 服务<br><b>中文解释：</b> 在 Kubernetes 中为一组 Pod 提供稳定访问入口和负载分发。	AAI::部署与扩展
Ingress	<b>英文全称：</b> Ingress<br><b>中文全称：</b> 入口路由<br><b>中文解释：</b> 管理外部流量进入 Kubernetes 集群的规则，常用于域名、路径和 TLS 配置。	AAI::部署与扩展
Load Balancer	<b>英文全称：</b> Load Balancer<br><b>中文全称：</b> 负载均衡器<br><b>中文解释：</b> 把请求分配到多个服务实例，提高系统吞吐、可用性和容错能力。	AAI::部署与扩展
Autoscaling	<b>英文全称：</b> Autoscaling<br><b>中文全称：</b> 自动扩缩容<br><b>中文解释：</b> 根据流量、CPU、GPU、队列长度等指标自动增加或减少服务副本。	AAI::部署与扩展
Horizontal Scaling	<b>英文全称：</b> Horizontal Scaling<br><b>中文全称：</b> 水平扩展<br><b>中文解释：</b> 通过增加服务实例数量提升系统处理能力。	AAI::部署与扩展
CI/CD	<b>英文全称：</b> Continuous Integration / Continuous Delivery<br><b>中文全称：</b> 持续集成/持续交付<br><b>中文解释：</b> 通过自动测试、构建和部署流水线加快迭代并降低发布风险。	AAI::部署与扩展
MLOps	<b>英文全称：</b> Machine Learning Operations<br><b>中文全称：</b> 机器学习运维<br><b>中文解释：</b> 围绕模型训练、部署、监控、版本管理和持续改进的工程实践。	AAI::部署与扩展
AgentOps	<b>英文全称：</b> Agent Operations<br><b>中文全称：</b> 智能体运维<br><b>中文解释：</b> 专门面向智能体系统的运维实践，关注规划轨迹、工具调用、记忆、检索、安全和任务成功率。	AAI::部署与扩展
Model Registry	<b>英文全称：</b> Model Registry<br><b>中文全称：</b> 模型注册库<br><b>中文解释：</b> 集中管理模型版本、元数据、部署状态和回滚信息的系统。	AAI::部署与扩展
Version Control	<b>英文全称：</b> Version Control<br><b>中文全称：</b> 版本控制<br><b>中文解释：</b> 记录代码、提示词、模型、检索配置和工具 schema 变化，支持审计、回滚和协作。	AAI::部署与扩展
Blue-Green Deployment	<b>英文全称：</b> Blue-Green Deployment<br><b>中文全称：</b> 蓝绿部署<br><b>中文解释：</b> 同时维护两个生产环境，通过切换流量实现低风险发布和快速回滚。	AAI::部署与扩展
Canary Release	<b>英文全称：</b> Canary Release<br><b>中文全称：</b> 金丝雀发布/灰度发布<br><b>中文解释：</b> 先让少量用户使用新版本，观察指标稳定后再逐步扩大流量。	AAI::部署与扩展
Rollback	<b>英文全称：</b> Rollback<br><b>中文全称：</b> 回滚<br><b>中文解释：</b> 当新版本出现问题时快速恢复到稳定旧版本的操作。	AAI::部署与扩展
High Availability	<b>英文全称：</b> High Availability<br><b>中文全称：</b> 高可用<br><b>中文解释：</b> 通过冗余、负载均衡、故障恢复和监控保证系统持续可用。	AAI::部署与扩展
Fault Tolerance	<b>英文全称：</b> Fault Tolerance<br><b>中文全称：</b> 容错能力<br><b>中文解释：</b> 系统在部分组件失败时仍能继续提供服务或优雅降级的能力。	AAI::部署与扩展
NIM	<b>英文全称：</b> NVIDIA Inference Microservices<br><b>中文全称：</b> NVIDIA 推理微服务<br><b>中文解释：</b> NVIDIA 用于部署生成式 AI 模型的微服务方案，提供标准 API、优化推理运行时和生产级部署能力。	AAI::NVIDIA_平台
NeMo	<b>英文全称：</b> NVIDIA NeMo<br><b>中文全称：</b> NVIDIA NeMo 框架<br><b>中文解释：</b> NVIDIA 面向生成式 AI 和大模型训练、定制、评估、部署相关工作流的工具生态。	AAI::NVIDIA_平台
NeMo Guardrails	<b>英文全称：</b> NVIDIA NeMo Guardrails<br><b>中文全称：</b> NVIDIA NeMo 护栏<br><b>中文解释：</b> 用于为 LLM 应用定义输入、输出、对话、检索和执行规则的安全与控制框架。	AAI::NVIDIA_平台
Input Rail	<b>英文全称：</b> Input Rail<br><b>中文全称：</b> 输入护栏<br><b>中文解释：</b> 在用户输入进入模型前检查越狱、恶意请求、敏感信息或不合规内容。	AAI::NVIDIA_平台
