id,term,english,chinese,module,explain
74,Long Document Processing,Long Document Processing,长文档处理,长文档处理,处理超过模型上下文窗口的论文、手册或报告，包括切分、摘要、压缩、重构和检索。
75,Summarization,Summarization,摘要生成,长文档处理,把长文本压缩为保留主要信息的短文本，可用于文档理解、上下文压缩和评估。
76,Map-Reduce Summarization,Map-Reduce Summarization,Map-Reduce 摘要,长文档处理,先分别总结各文档块，再汇总所有局部摘要生成整体摘要的方法。
77,Incremental Summarization,Incremental Summarization,增量摘要,长文档处理,逐块处理长文档，并把上一轮摘要与新内容结合，持续更新中间摘要。
78,While-loop Processing,While-loop Processing,循环式处理,长文档处理,用循环逐步处理长文档或多步骤任务，每轮更新状态直到达到终止条件。
79,Document Compression,Document Compression,文档压缩,长文档处理,对检索到或输入的文本进行摘要、筛选和重写，以减少上下文长度并突出关键信息。
80,Context Assembly,Context Assembly,上下文组装,Prompt 与生成,把系统提示、用户问题、对话历史和检索片段组合成最终发送给模型的输入。
81,Citation,Citation,引用,评估与可追溯性,在答案中标明信息来源，使用户能追溯回答依据。
82,Source Attribution,Source Attribution,来源归因,评估与可追溯性,明确回答中的信息来自哪个文档、页面、章节或片段，提升可信度和可审查性。
83,RAG Prompt Template,Retrieval-Augmented Generation Prompt Template,RAG 提示词模板,Prompt 与生成,专门用于把检索上下文和用户问题组织起来，并约束模型只基于材料回答的 Prompt 模板。
84,No-answer Handling,No-answer Handling,无答案处理,护栏与安全,当给定材料中没有答案时，系统应说明无法确定，而不是编造答案。
85,Evaluation Chain,Evaluation Chain,评估链,RAG 评估,用于自动评估 RAG 输出质量的链条，可检查准确性、忠实性、完整性和安全性。
86,Faithfulness,Faithfulness,忠实性,RAG 评估,衡量答案是否严格符合给定上下文，是否包含上下文没有支持的内容。
87,Answer Accuracy,Answer Accuracy,答案准确性,RAG 评估,衡量回答是否事实正确，并与标准答案或证据一致。
88,Completeness,Completeness,完整性,RAG 评估,衡量回答是否覆盖问题所需的关键方面，而不是遗漏重要信息。
89,Traceability,Traceability,可追溯性,评估与可追溯性,用户能够根据引用或元数据追踪答案依据到具体来源。
90,Precision@k,Precision at k,前 k 个结果准确率,RAG 评估,前 k 个检索结果中相关结果所占比例，用于评估检索结果的纯度。
91,Recall@k,Recall at k,前 k 个结果召回率,RAG 评估,正确证据是否出现在前 k 个检索结果中，是衡量 RAG 检索是否找得到答案的重要指标。
92,MRR,Mean Reciprocal Rank,平均倒数排名,RAG 评估,衡量第一个正确结果出现位置的指标，正确结果越靠前，MRR 越高。
93,nDCG,Normalized Discounted Cumulative Gain,归一化折损累计增益,RAG 评估,综合考虑检索结果相关性等级和排序位置的评估指标。
94,Coverage,Coverage,覆盖度,RAG 评估,检索结果是否覆盖回答问题所需的主要证据和信息范围。
95,Test Set,Test Set,测试集,RAG 评估,用于评估系统表现的一组问题、标准答案和证据，可包含事实型、综合型、多轮和无答案问题。
96,Gold Answer,Gold Answer,标准答案,RAG 评估,人工或权威来源给出的参考答案，用于衡量模型回答质量。
97,Human Review,Human Review,人工复核,RAG 评估,由人检查模型或评估器结果，以发现自动评分无法识别的问题。
98,Logging,Logging,日志记录,服务化与部署,记录输入、输出、耗时、错误、检索结果和用户操作，便于调试、评估和审计。
99,Caching,Caching,缓存,服务化与部署,保存常见查询或中间结果，减少重复计算，降低延迟和成本。
100,Latency,Latency,延迟,服务化与部署,从用户发起请求到系统返回结果的时间，是衡量在线 RAG 应用体验的重要指标。
101,Temperature,Temperature,温度参数,Prompt 与生成,控制模型生成随机性的参数。较低温度通常更稳定，适合事实问答；较高温度更发散。
102,MVP,Minimum Viable Product,最小可行产品,RAG 应用,用最少核心功能形成可运行闭环的版本，如文档加载、切分、检索、生成和前端交互。
103,API Service,Application Programming Interface Service,API 服务,服务化与部署,把功能封装为可被其他程序调用的服务，便于前后端分离和系统集成。
104,Frontend,Frontend,前端,服务化与部署,用户与系统交互的界面，如聊天窗口、表单、按钮和结果展示区域。
105,State Machine,State Machine,状态机,对话状态与管理,用明确状态和转移规则管理任务流程，可提升多轮对话和 Agent 行为的可预测性。
106,Knowledge Base,Knowledge Base,知识库,RAG 应用,RAG 系统可检索的外部知识集合，可以由论文、手册、网页、数据库或内部文档构成。
