ID,题型,模块,知识点,题干,A,B,C,D,E,答案,解析
38,多选,RAG 基础与系统架构,RAG Agent 概念,下列哪些能力更符合 RAG Agent，而不仅仅是普通固定流程 RAG？,根据问题判断是否需要检索,在信息不足时追问用户,根据任务调用数据库、API 或文件工具,维护多轮对话状态,永远只执行固定的检索→生成流程，不能改变策略,A B C D,Agent 的特点是具有一定任务控制能力，可以动态选择工具、追问、检索和维护状态。选项 E 更接近普通固定流程 RAG，而不是智能体。
39,多选,RAG 基础与系统架构,RAG 系统组件,完整 RAG Agent 系统中通常会出现哪些组件？,文档处理模块,嵌入模型与向量数据库,检索器与上下文组装模块,对话状态和护栏系统,只用于娱乐的随机答案发生器,A B C D,RAG Agent 需要文档、嵌入、检索、状态、护栏、前端、服务和评估等组件。随机答案发生器不符合可靠问答目标。
40,多选,LLM 推理接口与微服务,LLM 推理接口输入输出,LLM 推理接口的输入或输出可以包括哪些内容？,系统提示词和用户问题,检索到的上下文和工具返回结果,自然语言回答,结构化 JSON 或工具调用参数,只能输出图片，不能输出文字,A B C D,LLM 推理接口可以接收多种上下文输入，也可以返回自然语言、JSON、分类标签或工具参数。选项 E 明显错误。
41,多选,LLM 推理接口与微服务,本地、远程与混合部署,关于 LLM 部署方式，下列哪些说法是合理的？,本地部署通常更有利于私有数据控制,云端 API 通常更便于快速原型开发和弹性扩展,企业私有云适合对合规、权限和内部集成要求较高的场景,混合部署可以让敏感任务本地处理、非敏感任务使用云端能力,所有场景都必须只选择一种部署方式，不能混合,A B C D,部署方式需要根据隐私、成本、延迟、模型能力和运维能力选择。混合部署在真实系统中很常见，不必僵化地只选一种。
42,多选,LLM 推理接口与微服务,微服务化思想,RAG 系统微服务化后通常有哪些好处？,各模块可以独立升级和扩展,更容易定位检索、生成、前端或评估模块的故障,多个应用可以共享同一模型服务或检索服务,便于加入日志、监控、权限和 API 网关,一定会让系统不再需要测试,A B C D,微服务化提升可维护性和扩展性，但不会取消测试需求。模块拆分后仍需要接口测试、集成测试和线上监控。
43,多选,LangChain / LCEL / Gradio / LangServe,LangChain 作用,LangChain 可以帮助开发者完成哪些 LLM 应用开发任务？,管理 Prompt 模板,组合多步骤 LLM Chain,集成文档加载、切分和检索器,组织 Agent 工具调用和结构化输出,自动保证所有回答永远正确,A B C D,LangChain 提供应用构建能力，但不能保证模型永远正确。正确性仍依赖检索质量、Prompt、模型能力和评估机制。
44,多选,LangChain / LCEL / Gradio / LangServe,LCEL 链式表达,LCEL 链式表达的优势包括哪些？,组件结构清晰,Prompt、模型和输出解析器可替换,便于测试、部署和流式输出,可以用管道方式表达复杂链条,只能用于一次性手工演示，不能复用,A B C D,LCEL 的价值在于可组合、可测试和可部署。它让链条从散乱代码变成清晰的 runnable pipeline。
45,多选,LangChain / LCEL / Gradio / LangServe,内部推理与外部推理,下列哪些属于外部推理或外部工具交互？,查询向量数据库,调用公司内部 API,读取文件系统中的 PDF,查询结构化数据库,模型在不调用任何资源时判断用户情绪,A B C D,外部推理依赖模型外部资源和工具。情绪判断如果只由模型基于输入文本完成，则更接近内部推理。
46,多选,LangChain / LCEL / Gradio / LangServe,Gradio 前端,Gradio 适合用于哪些场景？,教学演示 LLM 应用,快速构建内部原型,可视化输入、输出和模型链条行为,构建简单聊天界面或表单界面,替代所有生产级鉴权、日志和监控系统,A B C D,Gradio 非常适合原型和演示，但生产级系统通常还需要更完整的权限、日志、监控、部署和前后端工程。
47,多选,LangChain / LCEL / Gradio / LangServe,LangServe API 化,使用 LangServe 将链条 API 化后，可能带来哪些好处？,前端可以通过 HTTP 调用同一个 RAG Chain,其他脚本或服务可以复用该链条,有利于从 Notebook 原型走向服务集成,便于将模型链条纳入微服务架构,会自动替代所有向量数据库,A B C D,LangServe 解决的是链条服务化和接口化问题，不是向量数据库本身。它让链条可以被不同客户端调用。
48,多选,对话状态与知识提取,对话状态,RAG Agent 的对话状态可以保存哪些内容？,用户身份和偏好,当前任务目标和阶段,已收集槽位和缺失槽位,对话历史、已调用工具和检索过的文档,与任务无关且不应保存的敏感隐私信息,A B C D,状态应保存完成任务所需的信息，但不应无原则收集与任务无关的敏感隐私。状态设计还要考虑最小必要、权限和安全。
49,多选,对话状态与知识提取,槽位填充,槽位填充在智能体中可以用于哪些任务？,识别用户已经提供的信息,判断任务还缺少哪些必要字段,生成追问以补齐缺失字段,把自然语言任务转换为结构化参数,让系统完全不需要理解用户意图,A B C D,槽位填充需要结合意图理解。它帮助系统把自然语言变成可执行参数，但不能替代意图识别。
50,多选,对话状态与知识提取,知识提取与 JSON,从论文描述中抽取结构化字段时，下列哪些字段可能是合理的？,disease / 疾病,cell_type / 细胞类型,methods / 方法,research_type / 研究类型,random_unrelated_color / 随机无关颜色,A B C D,知识提取应围绕任务需要设计字段。疾病、细胞类型、方法和研究类型都可用于科研论文结构化；随机无关颜色没有任务意义。
51,多选,对话状态与知识提取,对话管理流程,一个稳健的对话管理系统通常应具备哪些能力？,识别用户意图,抽取槽位并更新状态,判断是否需要追问、检索或调用工具,生成回答后继续维护状态,每轮对话都强制清空全部历史,A B C D,多轮任务需要连续状态。每轮清空历史会导致系统无法理解指代、偏好和任务进度。
52,多选,长篇文档处理,长文档限制,长文档直接输入 LLM 可能带来哪些问题？,超过上下文窗口,成本和延迟增加,关键信息被大量无关文本淹没,难以定位引用来源,一定会让答案完全正确,A B C D,长上下文不等于高质量回答。长文档需要分块、摘要、检索和元数据，否则很容易导致成本高、效果不稳定和引用困难。
53,多选,长篇文档处理,文档处理流程,文档进入 RAG 知识库前，通常需要哪些步骤？,读取和解析原始文件,清洗页眉、页脚、乱码或无关内容,切分文本并添加元数据,生成嵌入并写入向量库,完全丢弃正文，只保留文件图标,A B C D,高质量入库决定检索上限。文档读取、清洗、分块、元数据和嵌入是常见基础流程。
54,多选,长篇文档处理,文档分块策略,关于 chunking，下列哪些做法通常是合理的？,保留适当的 chunk overlap,尽量沿自然段、标题层级或语义边界切分,为每个块保留来源、章节或页码等元数据,根据任务测试不同 chunk size,无论文档类型如何，都固定每 1 个字符切一块,A B C D,合理分块需要根据任务、文档结构和模型上下文进行调参。每 1 个字符切一块会破坏语义，通常不可取。
55,多选,长篇文档处理,摘要与重构,结构化论文摘要可以包含哪些字段？,background / 研究背景,objective / 研究目的,methods / 方法,results 与 limitations / 结果与局限性,与论文无关的随机笑话,A B C D,结构化摘要应服务于理解文档内容。背景、目的、方法、结果、局限性等字段有助于后续检索和评估。
56,多选,长篇文档处理,while-loop 增量处理,循环式长文档处理时，哪些做法有助于提高稳定性？,限制每轮输入长度,保留上一轮摘要或状态作为累积记忆,为每轮输出设置结构化格式,在最终阶段进行汇总和一致性检查,无限循环且不设置终止条件,A B C D,循环式处理必须有清晰终止条件和中间状态。结构化输出和一致性检查能减少累积误差。
57,多选,嵌入、语义相似性与护栏,嵌入定义,关于文本嵌入，下列哪些说法正确？,嵌入把文本表示为数字向量,语义相近文本的向量通常更接近,嵌入可用于语义检索和聚类,嵌入可辅助构建语义护栏,嵌入只能用于图片，不能用于文本,A B C D,文本嵌入是 RAG 检索的基础，也可用于相似性比较、聚类、推荐和安全边界判断。
58,多选,嵌入、语义相似性与护栏,编码器与解码器,关于编码器、解码器和 RAG 分工，下列哪些说法正确？,编码器类模型常用于生成文本向量,解码器类模型常用于生成自然语言回答,RAG 中常用嵌入模型负责找材料，生成模型负责写答案,二者可以组合形成检索—生成流程,生成模型一定不能接收检索上下文,A B C D,RAG 正是把检索模型和生成模型结合起来。生成模型不仅可以接收检索上下文，而且应基于上下文回答。
59,多选,嵌入、语义相似性与护栏,相似性计算,文本向量相似性计算中，常见或合理的指标包括哪些？,余弦相似度,点积,欧氏距离,基于向量距离的近邻搜索,随机掷骰子决定相似度,A B C D,余弦相似度、点积和欧氏距离都是常见向量相似性或距离度量。随机选择不能稳定表示语义关系。
60,多选,嵌入、语义相似性与护栏,语义护栏,一个面向科研文献问答的语义护栏可能允许或拒绝哪些内容？,允许解释论文方法和结果,允许总结文献内容并给出依据,拒绝没有依据的个体化医疗诊断或治疗建议,拒绝明显超出系统任务范围的请求,无论问题是否危险都必须回答,A B C D,护栏并不是阻止系统工作，而是让系统在任务范围内回答，对超范围、高风险或无依据问题进行安全拒答和引导。
61,多选,向量存储与文档检索,向量数据库作用,向量数据库通常应支持哪些功能？,存储文本向量,保存文本片段和元数据,快速相似性搜索或近似最近邻搜索,根据 metadata 过滤检索范围,自动保证 LLM 生成答案无误,A B C D,向量数据库解决的是向量存储和检索问题，不能单独保证生成答案正确。答案质量还依赖检索、Prompt、模型和评估。
62,多选,向量存储与文档检索,文档入库与元数据,下列哪些 metadata 对论文 RAG 系统通常有价值？,source / 来源文件,title / 标题,section / 章节,page / 页码和 year / 年份,完全随机且不可解释的字段名,A B C D,来源、标题、章节、页码、年份等元数据能帮助过滤、引用和追溯。随机字段会降低系统可维护性。
63,多选,向量存储与文档检索,检索策略,RAG 中常见的检索策略包括哪些？,Top-k 相似性检索,MMR 检索,带 metadata 过滤条件的检索,关键词检索与向量检索结合的混合检索,完全不看用户问题，随机返回文档,A B C D,常见检索策略各有优势。真实系统中常结合向量检索、关键词检索、过滤和重排序，而不是随机返回材料。
64,多选,向量存储与文档检索,RAG Prompt 与拒绝编造,一个严谨的 RAG Prompt 通常应包含哪些要求？,只根据给定上下文回答,上下文没有答案时说明无法确定,尽量保持答案准确、简明、可追溯,避免把无关背景知识当作文档事实,鼓励模型在证据不足时自由发挥,A B C D,RAG Prompt 的关键是约束模型基于证据回答。证据不足时应说明限制，而不是自由发挥。
65,多选,向量存储与文档检索,多轮对话问题改写,多轮对话中的问题改写可以解决哪些问题？,代词指代不明,省略了前文对象,当前问题缺少独立检索关键词,检索器无法理解对话历史中的上下文,让系统永远不需要保存任何历史,A B C D,问题改写利用历史补全当前问题，但并不意味着完全不需要保存历史。改写本身就依赖必要的历史上下文。
66,多选,RAG 评估与项目实践,RAG 评估必要性,RAG 系统评估需要关注哪些失败模式？,检索结果不相关,找到了证据但生成答案没有使用,引用来源与答案不匹配,无答案问题上仍然编造,回答越长就一定越好,A B C D,RAG 失败可能发生在检索、生成、引用、拒答和多轮状态等环节。答案长度并不能代表质量。
67,多选,RAG 评估与项目实践,检索评估指标,下列哪些属于常见检索评估指标或相关概念？,Recall@k,Precision@k,MRR,nDCG 和 Coverage,网页背景颜色饱和度,A B C D,Recall@k、Precision@k、MRR、nDCG 和 Coverage 都能从不同角度评估检索结果是否相关、排序是否合理和证据是否覆盖问题。
68,多选,RAG 评估与项目实践,生成评估维度,评估 RAG 生成答案时，可以检查哪些方面？,答案是否准确,答案是否忠实于上下文,答案是否完整覆盖问题关键点,答案是否可追溯到来源并符合安全边界,答案是否使用了最多的形容词,A B C D,RAG 生成质量关注事实、忠实性、完整性、简洁性、可追溯性和安全性。修辞多少不是核心指标。
69,多选,RAG 评估与项目实践,LLM 作为评估器,设计 LLM 评估链时，哪些做法更稳健？,给出明确评分标准,要求输出结构化 JSON,提供问题、上下文和候选回答供评估,对评估结果进行抽查或与规则指标结合,不提供上下文，只让评估器凭感觉打分,A B C D,LLM 评估需要标准、证据和结构化输出。没有上下文的主观打分很难判断答案是否忠实于材料。
70,多选,RAG 评估与项目实践,评估集设计,构建课程级 RAG 测试集时，哪些题型是有价值的？,事实型问题,综合型和比较型问题,文档中无答案的问题,多轮追问和边界问题,只测试一个最简单的问候语,A B C D,测试集应覆盖真实使用场景，而不能只测问候语。无答案、多轮和边界问题尤其能暴露系统鲁棒性。
71,多选,RAG 评估与项目实践,贯穿项目与 MVP,研究论文库 RAG 聊天机器人进阶版本可以加入哪些能力？,文档 metadata 过滤,多轮对话历史和查询改写,MMR 检索、引用显示和语义护栏,LLM 自动评估、API 化部署和用户权限管理,删除所有检索模块，只保留闲聊,A B C D,进阶版本应在 MVP 基础上增强检索、多轮、引用、安全、评估、部署和权限能力，而不是去掉 RAG 的核心检索模块。
72,多选,常见问题与排错,常见问题与排错,RAG 系统出现问题时，下列哪些排查思路是合理的？,检索不相关时检查 chunk size、overlap、嵌入模型和检索策略,回答幻觉严重时加强上下文约束、降低 temperature 或加入忠实性评估,多轮对话混乱时检查状态结构和问题改写,响应太慢时检查上下文长度、缓存、向量库效率和串并行设计,一旦出错就删除全部评估集,A B C D,排错应按问题类型定位到文档处理、检索、Prompt、状态、模型和系统性能等环节。删除评估集会失去改进依据。
